U.S. Department of Energy, The Energy Information Administration (EIA)					
Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through December 2017					
Sources: EIA-923 Report					
					
YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	CONSUMPTION
2017	1	AK	Total Electric Power Industry	Coal (Short Tons)	37,902
2017	1	AK	Total Electric Power Industry	Natural Gas (Mcf)	2,359,641
2017	1	AK	Total Electric Power Industry	Petroleum (Barrels)	192,045
2017	1	AK	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	24,043
2017	1	AK	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	6,926
2017	1	AK	Combined Heat and Power, Commercial Power	Coal (Short Tons)	3,369
2017	1	AK	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	4,567
2017	1	AK	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	1,361
2017	1	AK	Combined Heat and Power, Electric Power	Coal (Short Tons)	12,935
2017	1	AK	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2017	1	AK	Electric Generators, Electric Utilities	Coal (Short Tons)	21,598
2017	1	AK	Electric Generators, Electric Utilities	Natural Gas (Mcf)	2,331,031
2017	1	AK	Electric Generators, Electric Utilities	Petroleum (Barrels)	183,758
2017	1	AL	Total Electric Power Industry	Coal (Short Tons)	1,337,723
2017	1	AL	Total Electric Power Industry	Natural Gas (Mcf)	25,042,851
2017	1	AL	Total Electric Power Industry	Other Gases (Billion Btu)	9
2017	1	AL	Total Electric Power Industry	Petroleum (Barrels)	12,978
2017	1	AL	Combined Heat and Power, Industrial Power	Coal (Short Tons)	961
2017	1	AL	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	563,905
2017	1	AL	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	9
2017	1	AL	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	1,138
2017	1	AL	Combined Heat and Power, Electric Power	Coal (Short Tons)	0
2017	1	AL	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	2,019,220
2017	1	AL	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	13,073,847
2017	1	AL	Electric Generators, Independent Power Producers	Petroleum (Barrels)	4,053
2017	1	AL	Electric Generators, Electric Utilities	Coal (Short Tons)	1,336,762
2017	1	AL	Electric Generators, Electric Utilities	Natural Gas (Mcf)	9,385,879
2017	1	AL	Electric Generators, Electric Utilities	Petroleum (Barrels)	7,787
2017	1	AR	Total Electric Power Industry	Coal (Short Tons)	1,811,309
2017	1	AR	Total Electric Power Industry	Natural Gas (Mcf)	4,519,452
2017	1	AR	Total Electric Power Industry	Petroleum (Barrels)	7,999
2017	1	AR	Combined Heat and Power, Industrial Power	Coal (Short Tons)	967
2017	1	AR	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	151,707
2017	1	AR	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	123
2017	1	AR	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	29
2017	1	AR	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	518,190
2017	1	AR	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2017	1	AR	Electric Generators, Independent Power Producers	Coal (Short Tons)	151,557
2017	1	AR	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	1,457,305
2017	1	AR	Electric Generators, Independent Power Producers	Petroleum (Barrels)	5,394
2017	1	AR	Electric Generators, Electric Utilities	Coal (Short Tons)	1,658,785
2017	1	AR	Electric Generators, Electric Utilities	Natural Gas (Mcf)	2,392,221
2017	1	AR	Electric Generators, Electric Utilities	Petroleum (Barrels)	2,482
2017	1	AZ	Total Electric Power Industry	Coal (Short Tons)	1,546,697
2017	1	AZ	Total Electric Power Industry	Natural Gas (Mcf)	9,569,499
2017	1	AZ	Total Electric Power Industry	Petroleum (Barrels)	12,609
2017	1	AZ	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	47,272
2017	1	AZ	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	2
2017	1	AZ	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	0
