		
State	Population	Abbrev
United States	324985539	US
Alabama	4874486	AL
Alaska	739700	AK
Arizona	7044008	AZ
Arkansas	3001345	AR
California	39358497	CA
Colorado	5611885	CO
Connecticut	3573297	CT
Delaware	956823	DE
District of Columbia	694906	DC
Florida	20963613	FL
Georgia	10410330	GA
Hawaii	1424393	HI
Idaho	1717715	ID
Illinois	12778828	IL
Indiana	6658078	IN
Iowa	3141550	IA
Kansas	2908718	KS
Kentucky	4452268	KY
Louisiana	4670560	LA
Maine	1334612	ME
Maryland	6023868	MD
Massachusetts	6859789	MA
Michigan	9973114	MI
Minnesota	5566230	MN
Mississippi	2988510	MS
Missouri	6106670	MO
Montana	1052482	MT
Nebraska	1915947	NE
Nevada	2969905	NV
New Hampshire	1348787	NH
New Jersey	8885525	NJ
New Mexico	2091784	NM
New York	19589572	NY
North Carolina	10268233	NC
North Dakota	754942	ND
Ohio	11659650	OH
Oklahoma	3931316	OK
Oregon	4143625	OR
Pennsylvania	12787641	PA
Rhode Island	1055673	RI
South Carolina	5021268	SC
South Dakota	872868	SD
Tennessee	6708799	TN
Texas	28295273	TX
Utah	3101042	UT
Vermont	624344	VT
Virginia	8463587	VA
Washington	7423362	WA
West Virginia	1817004	WV
Wisconsin	5790186	WI
Wyoming	578931	WY
