Year	State	Producer Type	Energy Source	CO2 (Metric Tons)	SO2 (Metric Tons)	NOx (Metric Tons)
2018	AK	Electric Utility	All Sources	2641943	1594	16398
2018	AK	Electric Utility	Coal	687109	592	897
2018	AK	Electric Utility	Natural Gas	1346076	6	9409
2018	AK	Electric Utility	Petroleum	608758	996	6092
2018	AK	IPP NAICS-22 Cogen	All Sources	317902	437	724
2018	AK	IPP NAICS-22 Cogen	Coal	317902	437	724
2018	AK	Commercial Non-Cogen	All Sources	183	0	445
2018	AK	Commercial Non-Cogen	Natural Gas	138	0	3
2018	AK	Commercial Non-Cogen	Other Biomass	0	0	441
2018	AK	Commercial Non-Cogen	Petroleum	45	0	1
2018	AK	Commercial Cogen	All Sources	357839	514	608
2018	AK	Commercial Cogen	Coal	345088	491	592
2018	AK	Commercial Cogen	Petroleum	12751	23	16
2018	AK	Industrial Non-Cogen	All Sources	20708	54	466
2018	AK	Industrial Non-Cogen	Other Biomass	0	19	55
2018	AK	Industrial Non-Cogen	Petroleum	20708	35	411
2018	AK	Industrial Cogen	All Sources	50976	16	313
2018	AK	Industrial Cogen	Natural Gas	41162	0	126
2018	AK	Industrial Cogen	Petroleum	9814	16	187
2018	AK	Total Electric Power Industry	All Sources	3389551	2615	18954
2018	AK	Total Electric Power Industry	Coal	1350099	1520	2213
2018	AK	Total Electric Power Industry	Natural Gas	1387376	6	9538
2018	AK	Total Electric Power Industry	Other Biomass	0	19	496
2018	AK	Total Electric Power Industry	Petroleum	652076	1070	6707
2018	AL	Electric Utility	All Sources	39351041	10715	21062
2018	AL	Electric Utility	Coal	30307119	10642	14748
2018	AL	Electric Utility	Natural Gas	9015075	48	6248
2018	AL	Electric Utility	Petroleum	28847	25	66
2018	AL	IPP NAICS-22 Non-Cogen	All Sources	12442109	65	1479
2018	AL	IPP NAICS-22 Non-Cogen	Natural Gas	12413135	63	994
2018	AL	IPP NAICS-22 Non-Cogen	Other Biomass	0	0	454
2018	AL	IPP NAICS-22 Non-Cogen	Petroleum	28974	2	31
2018	AL	IPP NAICS-22 Cogen	All Sources	2094874	50	405
2018	AL	IPP NAICS-22 Cogen	Natural Gas	2094874	10	247
2018	AL	IPP NAICS-22 Cogen	Wood and Wood Derived Fuels	0	40	158
2018	AL	Industrial Non-Cogen	All Sources	16186	0	42
2018	AL	Industrial Non-Cogen	Natural Gas	16186	0	42
2018	AL	Industrial Cogen	All Sources	2235553	26576	8581
2018	AL	Industrial Cogen	Coal	246929	1479	497
2018	AL	Industrial Cogen	Natural Gas	1963424	9	2312
2018	AL	Industrial Cogen	Other Gases	0	2	371
2018	AL	Industrial Cogen	Petroleum	25200	59	20
2018	AL	Industrial Cogen	Wood and Wood Derived Fuels	0	25027	5381
2018	AL	Total Electric Power Industry	All Sources	56139763	37406	31569
2018	AL	Total Electric Power Industry	Coal	30554048	12121	15245
2018	AL	Total Electric Power Industry	Natural Gas	25502694	130	9843
2018	AL	Total Electric Power Industry	Other Biomass	0	0	454
2018	AL	Total Electric Power Industry	Other Gases	0	2	371
2018	AL	Total Electric Power Industry	Petroleum	83021	86	117
2018	AL	Total Electric Power Industry	Wood and Wood Derived Fuels	0	25067	5539
2018	AR	Electric Utility	All Sources	31949697	43706	18205
2018	AR	Electric Utility	Coal	24380479	43636	16660
2018	AR	Electric Utility	Natural Gas	7549434	43	1536
2018	AR	Electric Utility	Petroleum	19784	27	9
2018	AR	IPP NAICS-22 Non-Cogen	All Sources	4791733	3257	2525
2018	AR	IPP NAICS-22 Non-Cogen	Coal	4787567	3255	1920
2018	AR	IPP NAICS-22 Non-Cogen	Other Biomass	0	0	605
2018	AR	IPP NAICS-22 Non-Cogen	Petroleum	4166	2	0
2018	AR	IPP NAICS-22 Cogen	All Sources	724376	17	274
2018	AR	IPP NAICS-22 Cogen	Natural Gas	724376	4	221
2018	AR	IPP NAICS-22 Cogen	Other Biomass	0	13	53
2018	AR	Commercial Cogen	All Sources	23993	0	178
2018	AR	Commercial Cogen	Natural Gas	23993	0	68
2018	AR	Commercial Cogen	Other Biomass	0	0	110
2018	AR	Industrial Cogen	All Sources	859654	12205	5021
2018	AR	Industrial Cogen	Coal	159522	480	330
2018	AR	Industrial Cogen	Natural Gas	671587	4	1456
2018	AR	Industrial Cogen	Other	16632	178	31
2018	AR	Industrial Cogen	Petroleum	11913	14	8
2018	AR	Industrial Cogen	Wood and Wood Derived Fuels	0	11529	3196
2018	AR	Total Electric Power Industry	All Sources	38349453	59185	26203
2018	AR	Total Electric Power Industry	Coal	29327568	47371	18910
2018	AR	Total Electric Power Industry	Natural Gas	8969390	51	3281
2018	AR	Total Electric Power Industry	Other Biomass	0	13	768
2018	AR	Total Electric Power Industry	Other	16632	178	31
2018	AR	Total Electric Power Industry	Petroleum	35863	43	17
2018	AR	Total Electric Power Industry	Wood and Wood Derived Fuels	0	11529	3196
2018	AZ	Electric Utility	All Sources	43511886	14944	36847
2018	AZ	Electric Utility	Coal	30897502	14847	25707
2018	AZ	Electric Utility	Natural Gas	12575104	91	11116
2018	AZ	Electric Utility	Petroleum	39280	6	24
2018	AZ	IPP NAICS-22 Non-Cogen	All Sources	3136895	45	946
2018	AZ	IPP NAICS-22 Non-Cogen	Natural Gas	3136895	20	325
2018	AZ	IPP NAICS-22 Non-Cogen	Other Biomass	0	0	523
2018	AZ	IPP NAICS-22 Non-Cogen	Wood and Wood Derived Fuels	0	25	98
2018	AZ	IPP NAICS-22 Cogen	All Sources	21133	0	15
2018	AZ	IPP NAICS-22 Cogen	Natural Gas	21133	0	15
2018	AZ	Commercial Non-Cogen	All Sources	36	0	0
2018	AZ	Commercial Non-Cogen	Natural Gas	16	0	0
2018	AZ	Commercial Non-Cogen	Petroleum	20	0	0
2018	AZ	Commercial Cogen	All Sources	86612	0	197
2018	AZ	Commercial Cogen	Natural Gas	86612	0	197
2018	AZ	Total Electric Power Industry	All Sources	46756562	14989	38005
2018	AZ	Total Electric Power Industry	Coal	30897502	14847	25707
2018	AZ	Total Electric Power Industry	Natural Gas	15819760	111	11653
2018	AZ	Total Electric Power Industry	Other Biomass	0	0	523
2018	AZ	Total Electric Power Industry	Petroleum	39300	6	24
2018	AZ	Total Electric Power Industry	Wood and Wood Derived Fuels	0	25	98
2018	CA	Electric Utility	All Sources	12248180	103	6108
2018	CA	Electric Utility	Geothermal	20683	0	0
2018	CA	Electric Utility	Natural Gas	12201413	61	5519
2018	CA	Electric Utility	Other Biomass	0	0	115
2018	CA	Electric Utility	Petroleum	26084	42	474
