YEAR	STATE	TYPE OF PRODUCER	ENERGY SOURCE	GENERATION (Megawatthours)
2018	AK	Total Electric Power Industry	Total	6247359
2018	AK	Total Electric Power Industry	Coal	628564
2018	AK	Total Electric Power Industry	Hydroelectric Conventional	1664225
2018	AK	Total Electric Power Industry	Natural Gas	2947902
2018	AK	Total Electric Power Industry	Other	-3100
2018	AK	Total Electric Power Industry	Petroleum	809278
2018	AK	Total Electric Power Industry	Other Biomass	45474
2018	AK	Total Electric Power Industry	Wind	155015
2018	AK	Total Electric Power Industry	Wood and Wood Derived Fuels	0
2018	AK	Combined Heat and Power, Industrial Power	Total	110098
2018	AK	Combined Heat and Power, Industrial Power	Natural Gas	64727
2018	AK	Combined Heat and Power, Industrial Power	Petroleum	42582
2018	AK	Combined Heat and Power, Industrial Power	Other Biomass	2790
2018	AK	Combined Heat and Power, Commercial Power	Total	328028
2018	AK	Combined Heat and Power, Commercial Power	Coal	103477
2018	AK	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	175622
2018	AK	Combined Heat and Power, Commercial Power	Natural Gas	264
2018	AK	Combined Heat and Power, Commercial Power	Petroleum	5981
2018	AK	Combined Heat and Power, Commercial Power	Other Biomass	42684
2018	AK	Combined Heat and Power, Commercial Power	Wood and Wood Derived Fuels	0
2018	AK	Combined Heat and Power, Electric Power	Total	177819
2018	AK	Combined Heat and Power, Electric Power	Coal	177819
2018	AK	Combined Heat and Power, Electric Power	Petroleum	0
2018	AK	Combined Heat and Power, Electric Power	Other Biomass	0
2018	AK	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	0
2018	AK	Electric Generators, Independent Power Producers	Total	56327
2018	AK	Electric Generators, Independent Power Producers	Wind	56327
2018	AK	Electric Generators, Electric Utilities	Total	5575087
2018	AK	Electric Generators, Electric Utilities	Coal	347268
2018	AK	Electric Generators, Electric Utilities	Hydroelectric Conventional	1488603
2018	AK	Electric Generators, Electric Utilities	Natural Gas	2882912
2018	AK	Electric Generators, Electric Utilities	Other	-3100
2018	AK	Electric Generators, Electric Utilities	Petroleum	760716
2018	AK	Electric Generators, Electric Utilities	Wind	98688
2018	AL	Total Electric Power Industry	Total	145057994
2018	AL	Total Electric Power Industry	Coal	31777520
2018	AL	Total Electric Power Industry	Hydroelectric Conventional	11143139
2018	AL	Total Electric Power Industry	Natural Gas	58800419
2018	AL	Total Electric Power Industry	Nuclear	39462827
2018	AL	Total Electric Power Industry	Other Gases	4804
2018	AL	Total Electric Power Industry	Other	-49
2018	AL	Total Electric Power Industry	Petroleum	65704
2018	AL	Total Electric Power Industry	Solar Thermal and Photovoltaic	357252
2018	AL	Total Electric Power Industry	Other Biomass	37672
2018	AL	Total Electric Power Industry	Wood and Wood Derived Fuels	3408707
2018	AL	Combined Heat and Power, Industrial Power	Total	4622077
2018	AL	Combined Heat and Power, Industrial Power	Coal	43852
2018	AL	Combined Heat and Power, Industrial Power	Natural Gas	1300225
2018	AL	Combined Heat and Power, Industrial Power	Other Gases	4804
2018	AL	Combined Heat and Power, Industrial Power	Other	0
2018	AL	Combined Heat and Power, Industrial Power	Petroleum	6976
2018	AL	Combined Heat and Power, Industrial Power	Other Biomass	0
2018	AL	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	3266221
2018	AL	Combined Heat and Power, Electric Power	Total	4864301
2018	AL	Combined Heat and Power, Electric Power	Coal	0
