State	Abbrev	Population
United States	US	326687501
Alabama	AL	4887681
Alaska	AK	735139
Arizona	AZ	7158024
Arkansas	AR	3009733
California	CA	39461588
Colorado	CO	5691287
Connecticut	CT	3571520
Delaware	DE	965479
District of Columbia	DC	701547
Florida	FL	21244317
Georgia	GA	10511131
Hawaii	HI	1420593
Idaho	ID	1750536
Illinois	IL	12723071
Indiana	IN	6695497
Iowa	IA	3148618
Kansas	KS	2911359
Kentucky	KY	4461153
Louisiana	LA	4659690
Maine	ME	1339057
Maryland	MD	6035802
Massachusetts	MA	6882635
Michigan	MI	9984072
Minnesota	MN	5606249
Mississippi	MS	2981020
Missouri	MO	6121623
Montana	MT	1060665
Nebraska	NE	1925614
Nevada	NV	3027341
New Hampshire	NH	1353465
New Jersey	NJ	8886025
New Mexico	NM	2092741
New York	NY	19530351
North Carolina	NC	10381615
North Dakota	ND	758080
Ohio	OH	11676341
Oklahoma	OK	3940235
Oregon	OR	4181886
Pennsylvania	PA	12800922
Rhode Island	RI	1058287
South Carolina	SC	5084156
South Dakota	SD	878698
Tennessee	TN	6771631
Texas	TX	28628666
Utah	UT	3153550
Vermont	VT	624358
Virginia	VA	8501286
Washington	WA	7523869
West Virginia	WV	1804291
Wisconsin	WI	5807406
Wyoming	WY	577601
