YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	GENERATION (Megawatthours)
2019	1	AK	Total Electric Power Industry	Total	536,458
2019	1	AK	Total Electric Power Industry	Coal	74,074
2019	1	AK	Total Electric Power Industry	Hydroelectric Conventional	123,607
2019	1	AK	Total Electric Power Industry	Natural Gas	252,897
2019	1	AK	Total Electric Power Industry	Other	-244
2019	1	AK	Total Electric Power Industry	Petroleum	69,530
2019	1	AK	Total Electric Power Industry	Other Biomass	2,877
2019	1	AK	Total Electric Power Industry	Wind	13,717
2019	1	AK	Total Electric Power Industry	Wood and Wood Derived Fuels	0
2019	1	AK	Combined Heat and Power, Industrial Power	Total	10,616
2019	1	AK	Combined Heat and Power, Industrial Power	Natural Gas	6,411
2019	1	AK	Combined Heat and Power, Industrial Power	Petroleum	3,917
2019	1	AK	Combined Heat and Power, Industrial Power	Other Biomass	288
2019	1	AK	Combined Heat and Power, Commercial Power	Total	27,816
2019	1	AK	Combined Heat and Power, Commercial Power	Coal	10,383
2019	1	AK	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	13,779
2019	1	AK	Combined Heat and Power, Commercial Power	Natural Gas	0
2019	1	AK	Combined Heat and Power, Commercial Power	Petroleum	1,064
2019	1	AK	Combined Heat and Power, Commercial Power	Other Biomass	2,589
2019	1	AK	Combined Heat and Power, Commercial Power	Wood and Wood Derived Fuels	0
2019	1	AK	Combined Heat and Power, Electric Power	Total	15,152
2019	1	AK	Combined Heat and Power, Electric Power	Coal	15,152
2019	1	AK	Combined Heat and Power, Electric Power	Petroleum	0
2019	1	AK	Combined Heat and Power, Electric Power	Other Biomass	0
2019	1	AK	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	0
2019	1	AK	Electric Generators, Independent Power Producers	Total	5,071
2019	1	AK	Electric Generators, Independent Power Producers	Wind	5,071
2019	1	AK	Electric Generators, Electric Utilities	Total	477,804
2019	1	AK	Electric Generators, Electric Utilities	Coal	48,539
2019	1	AK	Electric Generators, Electric Utilities	Hydroelectric Conventional	109,828
2019	1	AK	Electric Generators, Electric Utilities	Natural Gas	246,486
2019	1	AK	Electric Generators, Electric Utilities	Other	-244
2019	1	AK	Electric Generators, Electric Utilities	Petroleum	64,549
2019	1	AK	Electric Generators, Electric Utilities	Wind	8,646
2019	1	AL	Total Electric Power Industry	Total	12,562,722
2019	1	AL	Total Electric Power Industry	Coal	3,048,829
2019	1	AL	Total Electric Power Industry	Hydroelectric Conventional	1,336,512
2019	1	AL	Total Electric Power Industry	Natural Gas	3,845,282
2019	1	AL	Total Electric Power Industry	Nuclear	4,012,543
2019	1	AL	Total Electric Power Industry	Other Gases	479
2019	1	AL	Total Electric Power Industry	Other	0
2019	1	AL	Total Electric Power Industry	Petroleum	3,384
2019	1	AL	Total Electric Power Industry	Solar Thermal and Photovoltaic	20,736
2019	1	AL	Total Electric Power Industry	Other Biomass	2,918
2019	1	AL	Total Electric Power Industry	Wood and Wood Derived Fuels	292,040
2019	1	AL	Combined Heat and Power, Industrial Power	Total	406,128
2019	1	AL	Combined Heat and Power, Industrial Power	Coal	7,308
2019	1	AL	Combined Heat and Power, Industrial Power	Natural Gas	118,162
2019	1	AL	Combined Heat and Power, Industrial Power	Other Gases	479
2019	1	AL	Combined Heat and Power, Industrial Power	Other	0
2019	1	AL	Combined Heat and Power, Industrial Power	Petroleum	540
2019	1	AL	Combined Heat and Power, Industrial Power	Other Biomass	0
2019	1	AL	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	279,640
2019	1	AL	Combined Heat and Power, Electric Power	Total	220,773
2019	1	AL	Combined Heat and Power, Electric Power	Coal	0
2019	1	AL	Combined Heat and Power, Electric Power	Natural Gas	208,374
2019	1	AL	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	12,399
2019	1	AL	Electric Generators, Independent Power Producers	Total	2,145,265
2019	1	AL	Electric Generators, Independent Power Producers	Natural Gas	2,123,155
2019	1	AL	Electric Generators, Independent Power Producers	Other	0
2019	1	AL	Electric Generators, Independent Power Producers	Petroleum	67
2019	1	AL	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	19,125
2019	1	AL	Electric Generators, Independent Power Producers	Other Biomass	2,918
2019	1	AL	Electric Generators, Electric Utilities	Total	9,790,555
2019	1	AL	Electric Generators, Electric Utilities	Coal	3,041,521
2019	1	AL	Electric Generators, Electric Utilities	Hydroelectric Conventional	1,336,512
2019	1	AL	Electric Generators, Electric Utilities	Natural Gas	1,395,591
2019	1	AL	Electric Generators, Electric Utilities	Nuclear	4,012,543
2019	1	AL	Electric Generators, Electric Utilities	Petroleum	2,777
2019	1	AL	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	1,610
2019	1	AR	Total Electric Power Industry	Total	5,840,680
2019	1	AR	Total Electric Power Industry	Coal	2,749,545
2019	1	AR	Total Electric Power Industry	Pumped Storage	4,741
2019	1	AR	Total Electric Power Industry	Hydroelectric Conventional	366,702
2019	1	AR	Total Electric Power Industry	Natural Gas	1,188,491
2019	1	AR	Total Electric Power Industry	Nuclear	1,389,566
2019	1	AR	Total Electric Power Industry	Other	0
2019	1	AR	Total Electric Power Industry	Petroleum	5,617
2019	1	AR	Total Electric Power Industry	Solar Thermal and Photovoltaic	10,820
2019	1	AR	Total Electric Power Industry	Other Biomass	7,461
2019	1	AR	Total Electric Power Industry	Wood and Wood Derived Fuels	117,738
2019	1	AR	Combined Heat and Power, Industrial Power	Total	156,222
2019	1	AR	Combined Heat and Power, Industrial Power	Coal	7,023
2019	1	AR	Combined Heat and Power, Industrial Power	Natural Gas	31,101
2019	1	AR	Combined Heat and Power, Industrial Power	Other	0
2019	1	AR	Combined Heat and Power, Industrial Power	Petroleum	361
2019	1	AR	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	117,738
2019	1	AR	Combined Heat and Power, Commercial Power	Total	3,812
2019	1	AR	Combined Heat and Power, Commercial Power	Natural Gas	3,330
2019	1	AR	Combined Heat and Power, Commercial Power	Other Biomass	482
2019	1	AR	Combined Heat and Power, Electric Power	Total	119,319
2019	1	AR	Combined Heat and Power, Electric Power	Natural Gas	116,127
2019	1	AR	Combined Heat and Power, Electric Power	Petroleum	0
2019	1	AR	Combined Heat and Power, Electric Power	Other Biomass	3,192
2019	1	AR	Electric Generators, Independent Power Producers	Total	263,517
2019	1	AR	Electric Generators, Independent Power Producers	Coal	241,592
2019	1	AR	Electric Generators, Independent Power Producers	Hydroelectric Conventional	4,533
2019	1	AR	Electric Generators, Independent Power Producers	Petroleum	2,867
2019	1	AR	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	10,738
2019	1	AR	Electric Generators, Independent Power Producers	Other Biomass	3,786
2019	1	AR	Electric Generators, Electric Utilities	Total	5,297,812
2019	1	AR	Electric Generators, Electric Utilities	Coal	2,500,930
2019	1	AR	Electric Generators, Electric Utilities	Pumped Storage	4,741
2019	1	AR	Electric Generators, Electric Utilities	Hydroelectric Conventional	362,169
2019	1	AR	Electric Generators, Electric Utilities	Natural Gas	1,037,934
2019	1	AR	Electric Generators, Electric Utilities	Nuclear	1,389,566
2019	1	AR	Electric Generators, Electric Utilities	Petroleum	2,390
2019	1	AR	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	82
2019	1	AZ	Total Electric Power Industry	Total	9,018,494
2019	1	AZ	Total Electric Power Industry	Coal	2,337,909
2019	1	AZ	Total Electric Power Industry	Pumped Storage	-15,965
2019	1	AZ	Total Electric Power Industry	Hydroelectric Conventional	463,865
2019	1	AZ	Total Electric Power Industry	Natural Gas	2,920,184
2019	1	AZ	Total Electric Power Industry	Nuclear	2,978,263
2019	1	AZ	Total Electric Power Industry	Other	-250
2019	1	AZ	Total Electric Power Industry	Petroleum	5,028
2019	1	AZ	Total Electric Power Industry	Solar Thermal and Photovoltaic	268,370
2019	1	AZ	Total Electric Power Industry	Other Biomass	2,916
2019	1	AZ	Total Electric Power Industry	Wind	38,452
2019	1	AZ	Total Electric Power Industry	Wood and Wood Derived Fuels	19,722
2019	1	AZ	Combined Heat and Power, Commercial Power	Total	12,998
2019	1	AZ	Combined Heat and Power, Commercial Power	Natural Gas	12,362
2019	1	AZ	Combined Heat and Power, Commercial Power	Petroleum	2
